Date,Close,Volume
7-Jan-08,8.78,25400
8-Jan-08,9.05,24600
9-Jan-08,8.79,31600
10-Jan-08,8.5,40000
11-Jan-08,8.45,56122
14-Jan-08,8.71,37200
15-Jan-08,8.76,40300
16-Jan-08,8.86,40800
17-Jan-08,8.93,72200
18-Jan-08,8.43,41700
22-Jan-08,8.04,66400
23-Jan-08,7.96,76714
24-Jan-08,8.04,37799
25-Jan-08,8.0,26800
28-Jan-08,8.05,40300
29-Jan-08,8.01,18000
30-Jan-08,8.01,25100
31-Jan-08,8.08,25700
1-Feb-08,8.2,62401
4-Feb-08,8.23,42100
5-Feb-08,7.78,72950
6-Feb-08,7.66,166100
7-Feb-08,7.53,82700
8-Feb-08,7.16,44700
11-Feb-08,7.74,250540
12-Feb-08,7.48,71557
13-Feb-08,7.5,31620
14-Feb-08,7.43,32400
15-Feb-08,7.21,26485
19-Feb-08,7.11,22475
20-Feb-08,7.24,24100
21-Feb-08,7.8,81700
22-Feb-08,7.37,115300
25-Feb-08,7.5,63900
26-Feb-08,7.48,28700
27-Feb-08,8.06,72700
28-Feb-08,8.15,28700
29-Feb-08,7.9,105600
3-Mar-08,7.68,75300
4-Mar-08,7.84,29700
5-Mar-08,7.68,67965
6-Mar-08,7.62,23600
7-Mar-08,7.52,47900
10-Mar-08,7.37,56900
11-Mar-08,7.48,79900
12-Mar-08,6.97,107923
13-Mar-08,7.29,81200
14-Mar-08,7.3,98169
17-Mar-08,7.26,25400
18-Mar-08,7.43,28300
19-Mar-08,7.42,18900
20-Mar-08,7.44,33200
24-Mar-08,7.48,48700
25-Mar-08,7.75,135500
26-Mar-08,7.54,17300
27-Mar-08,7.54,21300
28-Mar-08,7.78,26800
31-Mar-08,7.75,42300
1-Apr-08,8.04,35900
2-Apr-08,8.04,34600
3-Apr-08,7.95,41800
4-Apr-08,8.01,26200
7-Apr-08,8.06,14500
8-Apr-08,8.0,30055
9-Apr-08,8.04,41700
10-Apr-08,8.05,7200
11-Apr-08,8.08,17000
14-Apr-08,8.18,32800
15-Apr-08,8.5,52706
16-Apr-08,8.81,51686
17-Apr-08,8.71,27966
18-Apr-08,8.39,17804
21-Apr-08,8.47,59100
22-Apr-08,8.72,22700
23-Apr-08,8.63,89000
24-Apr-08,8.73,8300
25-Apr-08,8.56,34700
28-Apr-08,8.75,8839
29-Apr-08,8.44,22444
30-Apr-08,8.3,5198
1-May-08,8.4,22485
2-May-08,8.0,41850
5-May-08,7.91,19100
6-May-08,8.43,35400
7-May-08,8.08,35150
8-May-08,8.3,53136
9-May-08,8.13,42446
12-May-08,7.49,71204
13-May-08,7.52,49335
14-May-08,8.02,71245
15-May-08,7.72,77505
16-May-08,7.6,38245
19-May-08,7.29,38310
20-May-08,7.28,34347
21-May-08,7.13,46961
22-May-08,7.17,15695
23-May-08,7.06,18055
27-May-08,7.24,62390
28-May-08,7.01,44850
29-May-08,7.19,24879
30-May-08,7.22,16829
2-Jun-08,7.0,30497
3-Jun-08,6.9,107768
4-Jun-08,6.96,23425
5-Jun-08,6.75,46027
6-Jun-08,6.45,40872
9-Jun-08,6.45,43710
10-Jun-08,6.31,40237
11-Jun-08,6.31,51447
12-Jun-08,6.23,53521
13-Jun-08,6.23,128830
16-Jun-08,6.42,41500
17-Jun-08,6.3,23036
18-Jun-08,6.43,34500
19-Jun-08,6.67,93081
20-Jun-08,6.72,41040
23-Jun-08,6.88,38435
24-Jun-08,6.92,21300
25-Jun-08,6.78,15700
